cp_id,reserve,amount,old_payment_date,new_payment_date,old_payment_method,new_payment_method,old_payment_key,new_payment_key,old_source,new_source,clear_payment_client,reason
8443,007528,1742.5,2025-07-24,2013-04-26,bank_transfer,unknown,0007943,0007927,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
8444,007343,287.76,2025-07-24,2013-02-27,bank_transfer,unknown,0007752,0007630,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
8445,007853,82.5,2025-07-24,2013-04-26,bank_transfer,unknown,0007940,0007924,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
8446,007862,765.9,2025-07-24,2013-04-26,bank_transfer,unknown,0007942,0007926,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
8447,007842,358.0,2025-07-24,2013-04-23,bank_transfer,unknown,0007930,0007914,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
8448,007644,1754.03,2025-07-24,2013-03-30,bank_transfer,unknown,0007827,0007812,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
8449,007843,82.5,2025-07-24,2013-04-23,bank_transfer,unknown,0007929,0007913,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
8450,007802,115.5,2025-07-24,2013-04-25,bank_transfer,unknown,0007939,0007923,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
8451,007738,59.5,2025-07-24,2013-04-30,bank_transfer,unknown,0007945,0007929,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
8452,007785,243.75,2025-07-24,2013-04-13,bank_transfer,unknown,0007891,0007874,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
