TABLE USAGE AUDIT
==========================================================================================
timestamp=2026-04-30T18:33:32.971965
public_table_count=295
archived_table_count=31
archive_candidate_count=240
archive_candidate_total_mb=60.542

Archive candidates (public):
  posting_queue | class=ARCHIVE_CANDIDATE_UNUSED | rows~11 | size_mb=0.047 | inbound_fk=0 | code_hits=0
  charter_run_types | class=ARCHIVE_CANDIDATE_UNUSED | rows~10 | size_mb=0.047 | inbound_fk=0 | code_hits=0
  document_categories | class=ARCHIVE_CANDIDATE_UNUSED | rows~10 | size_mb=0.047 | inbound_fk=0 | code_hits=0
  charter_types | class=ARCHIVE_CANDIDATE_UNUSED | rows~8 | size_mb=0.047 | inbound_fk=0 | code_hits=0
  duty_status_types | class=ARCHIVE_CANDIDATE_UNUSED | rows~8 | size_mb=0.047 | inbound_fk=0 | code_hits=0
  payday_loan_payments | class=ARCHIVE_CANDIDATE_UNUSED | rows~8 | size_mb=0.047 | inbound_fk=0 | code_hits=0
  performance_metrics | class=ARCHIVE_CANDIDATE_UNUSED | rows~8 | size_mb=0.047 | inbound_fk=0 | code_hits=0
  receipts_ingest_log | class=ARCHIVE_CANDIDATE_UNUSED | rows~8 | size_mb=0.047 | inbound_fk=0 | code_hits=0
  system_config | class=ARCHIVE_CANDIDATE_UNUSED | rows~8 | size_mb=0.047 | inbound_fk=0 | code_hits=0
  alert_policy | class=ARCHIVE_CANDIDATE_UNUSED | rows~6 | size_mb=0.047 | inbound_fk=0 | code_hits=0
  posting_reversals | class=ARCHIVE_CANDIDATE_UNUSED | rows~5 | size_mb=0.047 | inbound_fk=0 | code_hits=0
  bank_reconciliation | class=ARCHIVE_CANDIDATE_UNUSED | rows~3 | size_mb=0.047 | inbound_fk=0 | code_hits=0
  schema_migrations | class=ARCHIVE_CANDIDATE_UNUSED | rows~2 | size_mb=0.047 | inbound_fk=0 | code_hits=0
  tax_variances | class=ARCHIVE_CANDIDATE_UNUSED | rows~2 | size_mb=0.047 | inbound_fk=0 | code_hits=0
  etransfer_banking_reconciliation | class=ARCHIVE_CANDIDATE_UNUSED | rows~1 | size_mb=0.047 | inbound_fk=0 | code_hits=0
  fuel_expenses | class=ARCHIVE_CANDIDATE_UNUSED | rows~1 | size_mb=0.047 | inbound_fk=0 | code_hits=0
  vehicle_fuel_log | class=ARCHIVE_CANDIDATE_UNUSED | rows~1 | size_mb=0.047 | inbound_fk=0 | code_hits=0
  cibc_card_transactions | class=ARCHIVE_CANDIDATE_EMPTY | rows~0 | size_mb=0.047 | inbound_fk=0 | code_hits=0
  employee_pay_transactions | class=ARCHIVE_CANDIDATE_EMPTY | rows~0 | size_mb=0.047 | inbound_fk=0 | code_hits=0
  employee_schedules | class=ARCHIVE_CANDIDATE_EMPTY | rows~0 | size_mb=0.047 | inbound_fk=0 | code_hits=0
  owner_expense_transactions | class=ARCHIVE_CANDIDATE_EMPTY | rows~0 | size_mb=0.047 | inbound_fk=0 | code_hits=0
  credit_lines | class=ARCHIVE_CANDIDATE_UNUSED | rows~3 | size_mb=0.039 | inbound_fk=0 | code_hits=0
  excluded_charters | class=ARCHIVE_CANDIDATE_UNUSED | rows~3 | size_mb=0.039 | inbound_fk=0 | code_hits=0
  asset_depreciation_schedule | class=ARCHIVE_CANDIDATE_EMPTY | rows~0 | size_mb=0.039 | inbound_fk=0 | code_hits=0
  charter_incidents | class=ARCHIVE_CANDIDATE_EMPTY | rows~0 | size_mb=0.039 | inbound_fk=0 | code_hits=0
  customer_feedback | class=ARCHIVE_CANDIDATE_EMPTY | rows~0 | size_mb=0.039 | inbound_fk=0 | code_hits=0
  employee_expenses | class=ARCHIVE_CANDIDATE_EMPTY | rows~0 | size_mb=0.039 | inbound_fk=0 | code_hits=0
  employee_time_off_requests | class=ARCHIVE_CANDIDATE_EMPTY | rows~0 | size_mb=0.039 | inbound_fk=0 | code_hits=0
  float_activity_log | class=ARCHIVE_CANDIDATE_EMPTY | rows~0 | size_mb=0.039 | inbound_fk=0 | code_hits=0
  receipt_cashbox_links | class=ARCHIVE_CANDIDATE_EMPTY | rows~0 | size_mb=0.039 | inbound_fk=0 | code_hits=0
  t2_schedule_data | class=ARCHIVE_CANDIDATE_EMPTY | rows~0 | size_mb=0.039 | inbound_fk=0 | code_hits=0
  t4_compliance_corrections | class=ARCHIVE_CANDIDATE_EMPTY | rows~0 | size_mb=0.039 | inbound_fk=0 | code_hits=0
  limo_addresses | class=ARCHIVE_CANDIDATE_UNUSED | rows~54 | size_mb=0.031 | inbound_fk=0 | code_hits=0
  limo_addresses_clean | class=ARCHIVE_CANDIDATE_UNUSED | rows~48 | size_mb=0.031 | inbound_fk=0 | code_hits=0
  manual_check_payees | class=ARCHIVE_CANDIDATE_UNUSED | rows~26 | size_mb=0.031 | inbound_fk=0 | code_hits=0
  epson_pay_accounts_map | class=ARCHIVE_CANDIDATE_UNUSED | rows~25 | size_mb=0.031 | inbound_fk=0 | code_hits=0
  lms_vehicle_mapping | class=ARCHIVE_CANDIDATE_UNUSED | rows~25 | size_mb=0.031 | inbound_fk=0 | code_hits=0
  loan_transactions | class=ARCHIVE_CANDIDATE_UNUSED | rows~25 | size_mb=0.031 | inbound_fk=0 | code_hits=0
  beverage_menu | class=ARCHIVE_CANDIDATE_UNUSED | rows~24 | size_mb=0.031 | inbound_fk=0 | code_hits=0
  vehicle_insurance | class=ARCHIVE_CANDIDATE_UNUSED | rows~23 | size_mb=0.031 | inbound_fk=0 | code_hits=0
  wcb_ab_premium_rates | class=ARCHIVE_CANDIDATE_UNUSED | rows~21 | size_mb=0.031 | inbound_fk=0 | code_hits=0
  vendor_invoice_vendor_filters | class=ARCHIVE_CANDIDATE_UNUSED | rows~19 | size_mb=0.031 | inbound_fk=0 | code_hits=0
  epson_classifications_map | class=ARCHIVE_CANDIDATE_UNUSED | rows~17 | size_mb=0.031 | inbound_fk=0 | code_hits=0
  square_loan_payments | class=ARCHIVE_CANDIDATE_UNUSED | rows~16 | size_mb=0.031 | inbound_fk=0 | code_hits=0
  alberta_tax_brackets | class=ARCHIVE_CANDIDATE_UNUSED | rows~15 | size_mb=0.031 | inbound_fk=0 | code_hits=0
  federal_tax_brackets | class=ARCHIVE_CANDIDATE_UNUSED | rows~15 | size_mb=0.031 | inbound_fk=0 | code_hits=0
  accountant_year_notes | class=ARCHIVE_CANDIDATE_UNUSED | rows~14 | size_mb=0.031 | inbound_fk=0 | code_hits=0
  cra_remittance_payments | class=ARCHIVE_CANDIDATE_UNUSED | rows~13 | size_mb=0.031 | inbound_fk=0 | code_hits=0
  epson_pay_methods_map | class=ARCHIVE_CANDIDATE_UNUSED | rows~13 | size_mb=0.031 | inbound_fk=0 | code_hits=0
  gst_rates_lookup | class=ARCHIVE_CANDIDATE_UNUSED | rows~13 | size_mb=0.031 | inbound_fk=0 | code_hits=0
  cibc_auto_categorization_rules | class=ARCHIVE_CANDIDATE_UNUSED | rows~12 | size_mb=0.031 | inbound_fk=0 | code_hits=0
  system_locked_years | class=ARCHIVE_CANDIDATE_UNUSED | rows~12 | size_mb=0.031 | inbound_fk=0 | code_hits=0
  training_checklist_items | class=ARCHIVE_CANDIDATE_UNUSED | rows~12 | size_mb=0.031 | inbound_fk=0 | code_hits=0
  migration_log | class=ARCHIVE_CANDIDATE_UNUSED | rows~11 | size_mb=0.031 | inbound_fk=0 | code_hits=0
  charter_charge_defaults | class=ARCHIVE_CANDIDATE_UNUSED | rows~10 | size_mb=0.031 | inbound_fk=0 | code_hits=0
  wcb_ab_industry_rates | class=ARCHIVE_CANDIDATE_UNUSED | rows~10 | size_mb=0.031 | inbound_fk=0 | code_hits=0
  cash_flow_categories | class=ARCHIVE_CANDIDATE_UNUSED | rows~8 | size_mb=0.031 | inbound_fk=0 | code_hits=0
  qb_import_batches | class=ARCHIVE_CANDIDATE_UNUSED | rows~8 | size_mb=0.031 | inbound_fk=0 | code_hits=0
  vehicle_financing | class=ARCHIVE_CANDIDATE_UNUSED | rows~7 | size_mb=0.031 | inbound_fk=0 | code_hits=0
  lms_sync_log | class=ARCHIVE_CANDIDATE_UNUSED | rows~5 | size_mb=0.031 | inbound_fk=0 | code_hits=0
  vacation_pay_records | class=ARCHIVE_CANDIDATE_UNUSED | rows~3 | size_mb=0.031 | inbound_fk=0 | code_hits=0
  employee_roe_records | class=ARCHIVE_CANDIDATE_UNUSED | rows~2 | size_mb=0.031 | inbound_fk=0 | code_hits=0
  app_errors | class=ARCHIVE_CANDIDATE_UNUSED | rows~1 | size_mb=0.031 | inbound_fk=0 | code_hits=0
  charter_receipts | class=ARCHIVE_CANDIDATE_EMPTY | rows~0 | size_mb=0.031 | inbound_fk=0 | code_hits=0
  customer_comms_log | class=ARCHIVE_CANDIDATE_EMPTY | rows~0 | size_mb=0.031 | inbound_fk=0 | code_hits=0
  dispatch_events | class=ARCHIVE_CANDIDATE_EMPTY | rows~0 | size_mb=0.031 | inbound_fk=0 | code_hits=0
  driver_comms_log | class=ARCHIVE_CANDIDATE_EMPTY | rows~0 | size_mb=0.031 | inbound_fk=0 | code_hits=0
  driver_floats | class=ARCHIVE_CANDIDATE_EMPTY | rows~0 | size_mb=0.031 | inbound_fk=0 | code_hits=0
  drivers | class=ARCHIVE_CANDIDATE_EMPTY | rows~0 | size_mb=0.031 | inbound_fk=0 | code_hits=0
  employee_availability | class=ARCHIVE_CANDIDATE_EMPTY | rows~0 | size_mb=0.031 | inbound_fk=0 | code_hits=0
  square_capital_loans | class=ARCHIVE_CANDIDATE_EMPTY | rows~0 | size_mb=0.031 | inbound_fk=0 | code_hits=0
  square_processing_fees | class=ARCHIVE_CANDIDATE_EMPTY | rows~0 | size_mb=0.031 | inbound_fk=0 | code_hits=0
  t2_adjustments | class=ARCHIVE_CANDIDATE_EMPTY | rows~0 | size_mb=0.031 | inbound_fk=0 | code_hits=0
  vehicle_mileage_log | class=ARCHIVE_CANDIDATE_EMPTY | rows~0 | size_mb=0.031 | inbound_fk=0 | code_hits=0
  accounting_periods | class=ARCHIVE_CANDIDATE_UNUSED | rows~24 | size_mb=0.023 | inbound_fk=0 | code_hits=0
  lms_rate_mapping | class=ARCHIVE_CANDIDATE_UNUSED | rows~18 | size_mb=0.023 | inbound_fk=0 | code_hits=0
  run_type_default_charges | class=ARCHIVE_CANDIDATE_UNUSED | rows~11 | size_mb=0.023 | inbound_fk=0 | code_hits=0
  asset_documentation | class=ARCHIVE_CANDIDATE_EMPTY | rows~0 | size_mb=0.023 | inbound_fk=0 | code_hits=0
  charters_routing_times | class=ARCHIVE_CANDIDATE_EMPTY | rows~0 | size_mb=0.023 | inbound_fk=0 | code_hits=0
  deposit_slip_items | class=ARCHIVE_CANDIDATE_EMPTY | rows~0 | size_mb=0.023 | inbound_fk=0 | code_hits=0
  hos_14day_summary | class=ARCHIVE_CANDIDATE_EMPTY | rows~0 | size_mb=0.023 | inbound_fk=0 | code_hits=0
  hos_log | class=ARCHIVE_CANDIDATE_EMPTY | rows~0 | size_mb=0.023 | inbound_fk=0 | code_hits=0
  t2_shareholder_info | class=ARCHIVE_CANDIDATE_EMPTY | rows~0 | size_mb=0.023 | inbound_fk=0 | code_hits=0
  tax_remittances | class=ARCHIVE_CANDIDATE_EMPTY | rows~0 | size_mb=0.023 | inbound_fk=0 | code_hits=0
  vehicle_lease_documents | class=ARCHIVE_CANDIDATE_EMPTY | rows~0 | size_mb=0.023 | inbound_fk=0 | code_hits=0
  trial_balance | class=ARCHIVE_CANDIDATE_UNUSED | rows~120 | size_mb=0.016 | inbound_fk=0 | code_hits=0
